EIDj,LT,TC,Class
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_4,holiday,trustworthy,fair
CT_range_4,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,untrustworthy,unfair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,untrustworthy,unfair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,untrustworthy,unfair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_2,holiday,untrustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_1,holiday,trustworthy,fair
CT_range_2,holiday,untrustworthy,fair
